slug,product,kind,docType,version,drive_url,title_es,title_en,date,releaseNotes_es,releaseNotes_en,checksum,fileSize,mandatory
accessory-b2,accessory-b2,manual,datasheet,,,accessory-b2 Ficha técnica,accessory-b2 Datasheet,,,,,,,
accessory-b2,accessory-b2,manual,user-guide,,,accessory-b2 Guía de usuario,accessory-b2 User Guide,,,,,,,
accessory-b2,accessory-b2,manual,wiring-diagram,,,accessory-b2 Diagrama de cableado,accessory-b2 Wiring Diagram,,,,,,,
accessory-b2,accessory-b2,manual,certification,,,accessory-b2 Certificación,accessory-b2 Certification,,,,,,,
accessory-b2,accessory-b2,firmware,,,,,,,,,,,
accessory-b3,accessory-b3,manual,datasheet,,,accessory-b3 Ficha técnica,accessory-b3 Datasheet,,,,,,,
accessory-b3,accessory-b3,manual,user-guide,,,accessory-b3 Guía de usuario,accessory-b3 User Guide,,,,,,,
accessory-b3,accessory-b3,manual,wiring-diagram,,,accessory-b3 Diagrama de cableado,accessory-b3 Wiring Diagram,,,,,,,
accessory-b3,accessory-b3,manual,certification,,,accessory-b3 Certificación,accessory-b3 Certification,,,,,,,
accessory-b3,accessory-b3,firmware,,,,,,,,,,,
accessory-ba5-i,accessory-ba5-i,manual,datasheet,,,accessory-ba5-i Ficha técnica,accessory-ba5-i Datasheet,,,,,,,
accessory-ba5-i,accessory-ba5-i,manual,user-guide,,,accessory-ba5-i Guía de usuario,accessory-ba5-i User Guide,,,,,,,
accessory-ba5-i,accessory-ba5-i,manual,wiring-diagram,,,accessory-ba5-i Diagrama de cableado,accessory-ba5-i Wiring Diagram,,,,,,,
accessory-ba5-i,accessory-ba5-i,manual,certification,,,accessory-ba5-i Certificación,accessory-ba5-i Certification,,,,,,,
accessory-ba5-i,accessory-ba5-i,firmware,,,,,,,,,,,
accessory-ba5-o,accessory-ba5-o,manual,datasheet,,,accessory-ba5-o Ficha técnica,accessory-ba5-o Datasheet,,,,,,,
accessory-ba5-o,accessory-ba5-o,manual,user-guide,,,accessory-ba5-o Guía de usuario,accessory-ba5-o User Guide,,,,,,,
accessory-ba5-o,accessory-ba5-o,manual,wiring-diagram,,,accessory-ba5-o Diagrama de cableado,accessory-ba5-o Wiring Diagram,,,,,,,
accessory-ba5-o,accessory-ba5-o,manual,certification,,,accessory-ba5-o Certificación,accessory-ba5-o Certification,,,,,,,
accessory-ba5-o,accessory-ba5-o,firmware,,,,,,,,,,,
accessory-ibutton,accessory-ibutton,manual,datasheet,,,accessory-ibutton Ficha técnica,accessory-ibutton Datasheet,,,,,,,
accessory-ibutton,accessory-ibutton,manual,user-guide,,,accessory-ibutton Guía de usuario,accessory-ibutton User Guide,,,,,,,
accessory-ibutton,accessory-ibutton,manual,wiring-diagram,,,accessory-ibutton Diagrama de cableado,accessory-ibutton Wiring Diagram,,,,,,,
accessory-ibutton,accessory-ibutton,manual,certification,,,accessory-ibutton Certificación,accessory-ibutton Certification,,,,,,,
accessory-ibutton,accessory-ibutton,firmware,,,,,,,,,,,
accessory-led-alarm,accessory-led-alarm,manual,datasheet,,,accessory-led-alarm Ficha técnica,accessory-led-alarm Datasheet,,,,,,,
accessory-led-alarm,accessory-led-alarm,manual,user-guide,,,accessory-led-alarm Guía de usuario,accessory-led-alarm User Guide,,,,,,,
accessory-led-alarm,accessory-led-alarm,manual,wiring-diagram,,,accessory-led-alarm Diagrama de cableado,accessory-led-alarm Wiring Diagram,,,,,,,
accessory-led-alarm,accessory-led-alarm,manual,certification,,,accessory-led-alarm Certificación,accessory-led-alarm Certification,,,,,,,
accessory-led-alarm,accessory-led-alarm,firmware,,,,,,,,,,,
accessory-rwatch,accessory-rwatch,manual,datasheet,,,accessory-rwatch Ficha técnica,accessory-rwatch Datasheet,,,,,,,
accessory-rwatch,accessory-rwatch,manual,user-guide,,,accessory-rwatch Guía de usuario,accessory-rwatch User Guide,,,,,,,
accessory-rwatch,accessory-rwatch,manual,wiring-diagram,,,accessory-rwatch Diagrama de cableado,accessory-rwatch Wiring Diagram,,,,,,,
accessory-rwatch,accessory-rwatch,manual,certification,,,accessory-rwatch Certificación,accessory-rwatch Certification,,,,,,,
accessory-rwatch,accessory-rwatch,firmware,,,,,,,,,,,
accessory-switch,accessory-switch,manual,datasheet,,,accessory-switch Ficha técnica,accessory-switch Datasheet,,,,,,,
accessory-switch,accessory-switch,manual,user-guide,,,accessory-switch Guía de usuario,accessory-switch User Guide,,,,,,,
accessory-switch,accessory-switch,manual,wiring-diagram,,,accessory-switch Diagrama de cableado,accessory-switch Wiring Diagram,,,,,,,
accessory-switch,accessory-switch,manual,certification,,,accessory-switch Certificación,accessory-switch Certification,,,,,,,
accessory-switch,accessory-switch,firmware,,,,,,,,,,,
accessory-wi-fi-router,accessory-wi-fi-router,manual,datasheet,,,accessory-wi-fi-router Ficha técnica,accessory-wi-fi-router Datasheet,,,,,,,
accessory-wi-fi-router,accessory-wi-fi-router,manual,user-guide,,,accessory-wi-fi-router Guía de usuario,accessory-wi-fi-router User Guide,,,,,,,
accessory-wi-fi-router,accessory-wi-fi-router,manual,wiring-diagram,,,accessory-wi-fi-router Diagrama de cableado,accessory-wi-fi-router Wiring Diagram,,,,,,,
accessory-wi-fi-router,accessory-wi-fi-router,manual,certification,,,accessory-wi-fi-router Certificación,accessory-wi-fi-router Certification,,,,,,,
accessory-wi-fi-router,accessory-wi-fi-router,firmware,,,,,,,,,,,
camera-960c53,camera-960c53,manual,datasheet,,,camera-960c53 Ficha técnica,camera-960c53 Datasheet,,,,,,,
camera-960c53,camera-960c53,manual,user-guide,,,camera-960c53 Guía de usuario,camera-960c53 User Guide,,,,,,,
camera-960c53,camera-960c53,manual,wiring-diagram,,,camera-960c53 Diagrama de cableado,camera-960c53 Wiring Diagram,,,,,,,
camera-960c53,camera-960c53,manual,certification,,,camera-960c53 Certificación,camera-960c53 Certification,,,,,,,
camera-960c53,camera-960c53,firmware,,,,,,,,,,,
camera-ad-kit-3-0,camera-ad-kit-3-0,manual,datasheet,,,camera-ad-kit-3-0 Ficha técnica,camera-ad-kit-3-0 Datasheet,,,,,,,
camera-ad-kit-3-0,camera-ad-kit-3-0,manual,user-guide,,,camera-ad-kit-3-0 Guía de usuario,camera-ad-kit-3-0 User Guide,,,,,,,
camera-ad-kit-3-0,camera-ad-kit-3-0,manual,wiring-diagram,,,camera-ad-kit-3-0 Diagrama de cableado,camera-ad-kit-3-0 Wiring Diagram,,,,,,,
camera-ad-kit-3-0,camera-ad-kit-3-0,manual,certification,,,camera-ad-kit-3-0 Certificación,camera-ad-kit-3-0 Certification,,,,,,,
camera-ad-kit-3-0,camera-ad-kit-3-0,firmware,,,,,,,,,,,
camera-c20d,camera-c20d,manual,datasheet,,,camera-c20d Ficha técnica,camera-c20d Datasheet,,,,,,,
camera-c20d,camera-c20d,manual,user-guide,,,camera-c20d Guía de usuario,camera-c20d User Guide,,,,,,,
camera-c20d,camera-c20d,manual,wiring-diagram,,,camera-c20d Diagrama de cableado,camera-c20d Wiring Diagram,,,,,,,
camera-c20d,camera-c20d,manual,certification,,,camera-c20d Certificación,camera-c20d Certification,,,,,,,
camera-c20d,camera-c20d,firmware,,,,,,,,,,,
camera-c25,camera-c25,manual,datasheet,,,camera-c25 Ficha técnica,camera-c25 Datasheet,,,,,,,
camera-c25,camera-c25,manual,user-guide,,,camera-c25 Guía de usuario,camera-c25 User Guide,,,,,,,
camera-c25,camera-c25,manual,wiring-diagram,,,camera-c25 Diagrama de cableado,camera-c25 Wiring Diagram,,,,,,,
camera-c25,camera-c25,manual,certification,,,camera-c25 Certificación,camera-c25 Certification,,,,,,,
camera-c25,camera-c25,firmware,,,,,,,,,,,
camera-c29n,camera-c29n,manual,datasheet,,,camera-c29n Ficha técnica,camera-c29n Datasheet,,,,,,,
camera-c29n,camera-c29n,manual,user-guide,,,camera-c29n Guía de usuario,camera-c29n User Guide,,,,,,,
camera-c29n,camera-c29n,manual,wiring-diagram,,,camera-c29n Diagrama de cableado,camera-c29n Wiring Diagram,,,,,,,
