product,products,type,version,date,releaseNotes_es,releaseNotes_en,downloadUrl,checksum,fileSize,mandatory
accessory-b2,,firmware,,,,,,,,
accessory-b3,,firmware,,,,,,,,
accessory-ba5-i,,firmware,,,,,,,,
accessory-ba5-o,,firmware,,,,,,,,
accessory-ibutton,,firmware,,,,,,,,
accessory-led-alarm,,firmware,,,,,,,,
accessory-rwatch,,firmware,,,,,,,,
accessory-switch,,firmware,,,,,,,,
accessory-wi-fi-router,,firmware,,,,,,,,
avm,,firmware,,,,,,,,
camera-960c53,,firmware,,,,,,,,
camera-ad-kit-3-0,,firmware,,,,,,,,
camera-c20d,,firmware,,,,,,,,
camera-c25,,firmware,,,,,,,,
camera-c29n,,firmware,,,,,,,,
camera-c39a,,firmware,,,,,,,,
camera-c39b,,firmware,,,,,,,,
camera-c46,,firmware,,,,,,,,
camera-ca20d,,firmware,,,,,,,,
camera-ca20s,,firmware,,,,,,,,
camera-ca25,,firmware,,,,,,,,
camera-ca38,,firmware,,,,,,,,
camera-ca39,,firmware,,,,,,,,
camera-ca39a,,firmware,,,,,,,,
camera-ca39b,,firmware,,,,,,,,
camera-ca4,,firmware,,,,,,,,
camera-ca42-wireless-camera,,firmware,,,,,,,,
camera-ca46,,firmware,,,,,,,,
camera-ca51,,firmware,,,,,,,,
camera-ca51a,,firmware,,,,,,,,
camera-sc,,firmware,,,,,,,,
display-cp16max,,firmware,,,,,,,,
display-cp4,,firmware,,,,,,,,
display-cp5,,firmware,,,,,,,,
display-dp12s,,firmware,,,,,,,,
display-dp7q-rt,,firmware,,,,,,,,
display-dp7q-t,,firmware,,,,,,,,
display-dp7s-t,,firmware,,,,,,,,
display-dp7s,,firmware,,,,,,,,
display-xpad-2-0,,firmware,,,,,,,,
display-xpad-5-0,,firmware,,,,,,,,
law-enforcement-b68c27,,firmware,,,,,,,,
law-enforcement-body-worn-camera,,firmware,,,,,,,,
law-enforcement-c24ma,,firmware,,,,,,,,
law-enforcement-c37-dual-eye-camera,,firmware,,,,,,,,
law-enforcement-d50c27,,firmware,,,,,,,,
law-enforcement-mds,,firmware,,,,,,,,
law-enforcement-palm-reader,,firmware,,,,,,,,
law-enforcement-smart-holster-sensor,,firmware,,,,,,,,
law-enforcement-v3n,,firmware,,,,,,,,
law-enforcement-vigilant-multi-dock,,firmware,,,,,,,,
law-enforcement-vigilant-single-dock,,firmware,,,,,,,,
public-transport-a16max-ibcu,,firmware,,,,,,,,
public-transport-a8pro2-0,,firmware,,,,,,,,
public-transport-ims-100,,firmware,,,,,,,,
public-transport-l16max-215,,firmware,,,,,,,,
public-transport-l16max-286,,firmware,,,,,,,,
public-transport-led,,firmware,,,,,,,,
public-transport-m1n-2-0,,firmware,,,,,,,,
public-transport-p3-ahd,,firmware,,,,,,,,
public-transport-p3,,firmware,,,,,,,,
public-transport-p3d,,firmware,,,,,,,,
public-transport-x3n-pro,,firmware,,,,,,,,
public-transport-x3n,,firmware,,,,,,,,
public-transport-x5n-pro,,firmware,,,,,,,,
public-transport-x5n,,firmware,,,,,,,,
trucking-ad-max,,firmware,,,,,,,,
trucking-ad-plus-2-0-s,,firmware,,,,,,,,
trucking-ad-plus-2-0,,firmware,,,,,,,,
trucking-c6-lite-2-0-s,,firmware,,,,,,,,
trucking-c6-lite-2-0,,firmware,,,,,,,,
trucking-ds100,,firmware,,,,,,,,
trucking-f6n,,firmware,,,,,,,,
trucking-gt1-pro-dc-max,,firmware,,,,,,,,
trucking-m1n-2-0,,firmware,,,,,,,,
trucking-m3n,,firmware,,,,,,,,
trucking-power-box-max,,firmware,,,,,,,,
trucking-power-box-plus,,firmware,,,,,,,,
trucking-s5,,firmware,,,,,,,,
trucking-z5,,firmware,,,,,,,,
