product,products,docType,title_es,title_en,version,date,fileEs,fileEn,externalUrl,summary
accessory-b2,,user-guide,,,,,,,,
accessory-b3,,user-guide,,,,,,,,
accessory-ba5-i,,user-guide,,,,,,,,
accessory-ba5-o,,user-guide,,,,,,,,
accessory-ibutton,,user-guide,,,,,,,,
accessory-led-alarm,,user-guide,,,,,,,,
accessory-rwatch,,user-guide,,,,,,,,
accessory-switch,,user-guide,,,,,,,,
accessory-wi-fi-router,,user-guide,,,,,,,,
avm,,user-guide,,,,,,,,
camera-960c53,,user-guide,,,,,,,,
camera-ad-kit-3-0,,user-guide,,,,,,,,
camera-c20d,,user-guide,,,,,,,,
camera-c25,,user-guide,,,,,,,,
camera-c29n,,user-guide,,,,,,,,
camera-c39a,,user-guide,,,,,,,,
camera-c39b,,user-guide,,,,,,,,
camera-c46,,user-guide,,,,,,,,
camera-ca20d,,user-guide,,,,,,,,
camera-ca20s,,user-guide,,,,,,,,
camera-ca25,,user-guide,,,,,,,,
camera-ca38,,user-guide,,,,,,,,
camera-ca39,,user-guide,,,,,,,,
camera-ca39a,,user-guide,,,,,,,,
camera-ca39b,,user-guide,,,,,,,,
camera-ca4,,user-guide,,,,,,,,
camera-ca42-wireless-camera,,user-guide,,,,,,,,
camera-ca46,,user-guide,,,,,,,,
camera-ca51,,user-guide,,,,,,,,
camera-ca51a,,user-guide,,,,,,,,
camera-sc,,user-guide,,,,,,,,
display-cp16max,,user-guide,,,,,,,,
display-cp4,,user-guide,,,,,,,,
display-cp5,,user-guide,,,,,,,,
display-dp12s,,user-guide,,,,,,,,
display-dp7q-rt,,user-guide,,,,,,,,
display-dp7q-t,,user-guide,,,,,,,,
display-dp7s-t,,user-guide,,,,,,,,
display-dp7s,,user-guide,,,,,,,,
display-xpad-2-0,,user-guide,,,,,,,,
display-xpad-5-0,,user-guide,,,,,,,,
law-enforcement-b68c27,,user-guide,,,,,,,,
law-enforcement-body-worn-camera,,user-guide,,,,,,,,
law-enforcement-c24ma,,user-guide,,,,,,,,
law-enforcement-c37-dual-eye-camera,,user-guide,,,,,,,,
law-enforcement-d50c27,,user-guide,,,,,,,,
law-enforcement-mds,,user-guide,,,,,,,,
law-enforcement-palm-reader,,user-guide,,,,,,,,
law-enforcement-smart-holster-sensor,,user-guide,,,,,,,,
law-enforcement-v3n,,user-guide,,,,,,,,
law-enforcement-vigilant-multi-dock,,user-guide,,,,,,,,
law-enforcement-vigilant-single-dock,,user-guide,,,,,,,,
public-transport-a16max-ibcu,,user-guide,,,,,,,,
public-transport-a8pro2-0,,user-guide,,,,,,,,
public-transport-ims-100,,user-guide,,,,,,,,
public-transport-l16max-215,,user-guide,,,,,,,,
public-transport-l16max-286,,user-guide,,,,,,,,
public-transport-led,,user-guide,,,,,,,,
public-transport-m1n-2-0,,user-guide,,,,,,,,
public-transport-p3-ahd,,user-guide,,,,,,,,
public-transport-p3,,user-guide,,,,,,,,
public-transport-p3d,,user-guide,,,,,,,,
public-transport-x3n-pro,,user-guide,,,,,,,,
public-transport-x3n,,user-guide,,,,,,,,
public-transport-x5n-pro,,user-guide,,,,,,,,
public-transport-x5n,,user-guide,,,,,,,,
trucking-ad-max,,user-guide,,,,,,,,
trucking-ad-plus-2-0-s,,user-guide,,,,,,,,
trucking-ad-plus-2-0,,user-guide,,,,,,,,
trucking-c6-lite-2-0-s,,user-guide,,,,,,,,
trucking-c6-lite-2-0,,user-guide,,,,,,,,
trucking-ds100,,user-guide,,,,,,,,
trucking-f6n,,user-guide,,,,,,,,
trucking-gt1-pro-dc-max,,user-guide,,,,,,,,
trucking-m1n-2-0,,user-guide,,,,,,,,
trucking-m3n,,user-guide,,,,,,,,
trucking-power-box-max,,user-guide,,,,,,,,
trucking-power-box-plus,,user-guide,,,,,,,,
trucking-s5,,user-guide,,,,,,,,
trucking-z5,,user-guide,,,,,,,,
